success,trial_type,trial_index,time_elapsed,internal_node_id,subject,date,time,line_1,line_2,line_3,rt,phase,stim_pos_y,stim_pos_x,first_stage,last_stage,show_money_val,p_o1,safe_val,o1_val,o2_val,o1_image,o2_image,safe_image,choice_image,key_press_num,choice,accept,outcome_reached,points_received,safe_val_base,safe_val_actual,p_trigger,trigger_val_base,trigger_val_actual,o1_trigger,safe_noise,trigger_noise,other_noise,matched_safe,gl_type,choice_number,trial_num,outcome_image,outcome_val,outcome_name,correct,key,practice_quiz_pct,practice_bonus_trial_points_avg,test_quiz_pct,test_bonus_trial_points_avg,stimulus,button_pressed
,evan-run-trial,25,319876,0.0-25.0,1,aug_19_2019,1716,,,,2437.395,TEST,1,1,1,4,TRUE,0.4,-20,-90,0,Stimuli/Evan_Stimuli/Scissors.png,Stimuli/Evan_Stimuli/Girl.png,Stimuli/Evan_Stimuli/House.png,Stimuli/Evan_Stimuli/Hand.png,50,2,0,3,-20,-20,-20,0.4,-90,-90,TRUE,0,0,0,FALSE,loss,2,25,,,,,,,,,,,
,evan-run-trial,26,330953,0.0-26.0,1,aug_19_2019,1716,,,,2948.345,TEST,1,1,1,4,TRUE,0.6,-40,0,-70,Stimuli/Evan_Stimuli/Scissors.png,Stimuli/Evan_Stimuli/Girl.png,Stimuli/Evan_Stimuli/House.png,Stimuli/Evan_Stimuli/Pepper.png,50,2,0,3,-40,-40,-40,0.4,-70,-70,FALSE,0,0,0,FALSE,loss,3,26,,,,,,,,,,,
,evan-run-trial,27,342830,0.0-27.0,1,aug_19_2019,1716,,,,3730.475,TEST,1,1,1,4,TRUE,0.4,-20,0,-70,Stimuli/Evan_Stimuli/Scissors.png,Stimuli/Evan_Stimuli/Girl.png,Stimuli/Evan_Stimuli/House.png,Stimuli/Evan_Stimuli/Hand.png,49,1,1,2,-70,-20,-20,0.6,-70,-70,FALSE,0,0,0,FALSE,loss,2,27,,,,,,,,,,,
,evan-run-trial,28,352472,0.0-28.0,1,aug_19_2019,1716,,,,1486.06,TEST,1,1,1,4,TRUE,0.2,-40,0,-50,Stimuli/Evan_Stimuli/Scissors.png,Stimuli/Evan_Stimuli/Girl.png,Stimuli/Evan_Stimuli/House.png,Stimuli/Evan_Stimuli/Zebra.png,49,1,1,2,-50,-40,-40,0.8,-50,-50,FALSE,0,0,0,TRUE,loss,1,28,,,,,,,,,,,
,evan-display-text,29,357475,0.0-29.0,1,aug_19_2019,1716,Great work!.,Let's take a 5 second break.,,,TRAIN INFO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,evan-run-trial,30,368370,0.0-30.0,1,aug_19_2019,1716,,,,2742.895,TEST,1,1,1,4,TRUE,0.2,-40,0,-50,Stimuli/Evan_Stimuli/Scissors.png,Stimuli/Evan_Stimuli/Girl.png,Stimuli/Evan_Stimuli/House.png,Stimuli/Evan_Stimuli/Zebra.png,49,1,1,2,-50,-40,-40,0.8,-50,-50,FALSE,0,0,0,FALSE,loss,1,30,,,,,,,,,,,
,evan-run-trial,31,377694,0.0-31.0,1,aug_19_2019,1716,,,,1177.91,TEST,1,1,1,4,TRUE,0.2,-40,-50,0,Stimuli/Evan_Stimuli/Scissors.png,Stimuli/Evan_Stimuli/Girl.png,Stimuli/Evan_Stimuli/House.png,Stimuli/Evan_Stimuli/Zebra.png,49,1,1,1,-50,-40,-40,0.2,-50,-50,TRUE,0,0,0,FALSE,loss,1,31,,,,,,,,,,,
,evan-run-trial,32,383465,0.0-32.0,1,aug_19_2019,1716,,,,null,REW TEST 1,1,1,1,1,TRUE,0,40,0,70,Stimuli/Evan_Stimuli/Scissors.png,Stimuli/Evan_Stimuli/Girl.png,Stimuli/Evan_Stimuli/House.png,Stimuli/Evan_Stimuli/Hand.png,null,null,null,null,null,,,,,,,,,,,,,32,,,,,,,,,,,
,evan-reward-quiz,33,388468,0.0-33.0,1,aug_19_2019,1716,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stimuli/Evan_Stimuli/House.png,40,HOUSE,null,null,,,,,,
,evan-run-trial,34,397744,0.0-34.0,1,aug_19_2019,1716,,,,1125.485,TEST,1,1,1,4,TRUE,0.6,-20,0,-50,Stimuli/Evan_Stimuli/Scissors.png,Stimuli/Evan_Stimuli/Girl.png,Stimuli/Evan_Stimuli/House.png,Stimuli/Evan_Stimuli/Pepper.png,49,1,1,1,0,-20,-20,0.4,-50,-50,FALSE,0,0,0,TRUE,loss,3,34,,,,,,,,,,,
